;Team;DKKF;AUA;Pension;Tryghedspulje;Tidlig frokost;Sen frokost;RUC;CBS;AU;KU
1Gen (1);1;1;0;0;1;1;0;0;0;0;0
1Gen (2);1;0;1;1;0;0;1;0;0;1;0
1Gen (3);1;1;0;0;1;0;1;1;0;0;0
1Gen (4);1;1;0;0;0;1;0;0;0;0;0
1Gen (5);1;0;1;1;0;0;1;0;0;0;1
2Gen (1);1;0;0;1;0;1;0;1;0;0;0
2Gen (2);1;1;0;0;0;1;0;0;0;0;1
2Gen (3);1;1;0;0;1;1;0;1;1;0;0
2Gen (4);1;0;0;0;0;1;0;1;0;0;0
Bebs1;1;1;1;0;0;1;0;0;1;0;0
Bebs2;1;1;1;0;0;1;0;1;0;0;0
Bebs3;1;1;0;0;1;1;0;1;0;0;0
