name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
KL1;Ingen info;Ingen info;Fagbevaegelsen;Fagbevaegelsen;Fagbevaegelsen;Anden myndighed;Anden myndighed;Anden myndighed;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Interesseorganisation;Interesseorganisation;Interesseorganisation
KL2;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Skolevaesnet;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation
KL3;RUC(stud);RUC(stud);RUC(stud);RUC(stud);Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation
KL4;AU(stud);AU(Forskningsassistent);AU(Forskningsassistent);AU(Forskningsassistent);Ministerie;Ministerie;Ministerie;International organisation;International organisation;Ministerie;Ministerie;Ministerie;Interesseorganisation;Ministerie;Ministerie;Ministerie;Ministerie;Interesseorganisation;Interesseorganisation;Interesseorganisation;Interesseorganisation
