name;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
KL1;Stud(RUC);Stud(RUC);Stud(RUC);Stud(RUC);Stud(RUC);Journalist;Journalist;Journalist;Journalist;Konsulent;Konsulent
KL2;Stud(KU);Museumsinspektoer;Underviser;Konsulent;Underviser;Underviser;Ingen info;Underviser;Underviser;Underviser;Konsulent
KL3;;;Stud(RUC);Stud(RUC);Stud(RUC);Stud(CBS);Praktikant;Stud(CBS);Konsulent;Konsulent;Konsulent
KL4;;;;Stud(RUC);Stud(RUC);Stud(RUC);Stud(RUC);Stud(RUC);Stud(RUC);Praktikant;Konsulent
